source,target,weight
Joyce Messier,Mack Torson,1
Joyce Messier,You,7
Judit Minot,Jules Pidieu,1
Judit Minot,Kim Kitsuragi,6
Judit Minot,Mack Torson,3
Judit Minot,Nix Gottlieb,2
Judit Minot,Trant Heidelstam,3
Judit Minot,You,6
Jules Pidieu,Kim Kitsuragi,1
Jules Pidieu,Mack Torson,1
Jules Pidieu,You,1
Kim Kitsuragi,Klaasje (Miss Oranje Disco Dancer),9
Kim Kitsuragi,Kortenaer,7
Kim Kitsuragi,"Lena, the Cryptozoologist's wife",8
Kim Kitsuragi,Lilienne's Other Twin,1
Kim Kitsuragi,Lilienne's Twin,1
Kim Kitsuragi,"Lilienne, the Net Picker",4
Kim Kitsuragi,Little Lily,1
Kim Kitsuragi,Mack Torson,5
Kim Kitsuragi,Man on water lock,2
Kim Kitsuragi,Man with Sunglasses,3
Kim Kitsuragi,Measurehead,2
Kim Kitsuragi,Measurehead's Babe,2
Kim Kitsuragi,Mikael Heidelstam,3
Kim Kitsuragi,"Morell, the Cryptozoologist",5
Kim Kitsuragi,Nix Gottlieb,2
Kim Kitsuragi,Noid,8
Kim Kitsuragi,Novelty Dicemaker,1
Kim Kitsuragi,Paledriver,1
Kim Kitsuragi,Pissf****t,1
Kim Kitsuragi,Plaisance,9
Kim Kitsuragi,Racist lorry driver,2
Kim Kitsuragi,René Arnoux,9
Kim Kitsuragi,Rosemary,2
Kim Kitsuragi,"Ruby, the Instigator",2
Kim Kitsuragi,Ruud Hoenkloewen,3
Kim Kitsuragi,Scab Leader,2
Kim Kitsuragi,Shanky,14
Kim Kitsuragi,Siileng,2
Kim Kitsuragi,Sleeping Dockworker,1
Kim Kitsuragi,Smoker on the Balcony,5
Kim Kitsuragi,"Soona, the Programmer",8
Kim Kitsuragi,"Steban, the Student Communist",1
Kim Kitsuragi,Sunday Friend,2
Kim Kitsuragi,Sylvie,2
Kim Kitsuragi,The Gardener,7
Kim Kitsuragi,The Hanged Man,6
Kim Kitsuragi,The Pigs,2
Kim Kitsuragi,Theo,7
Kim Kitsuragi,Tiago,2
Kim Kitsuragi,Titus Hardie,17
Kim Kitsuragi,Tommy Le Homme,1
Kim Kitsuragi,Trant Heidelstam,6
Kim Kitsuragi,Washerwoman,1
Kim Kitsuragi,Working Class Woman,2
Kim Kitsuragi,You,356
Klaasje (Miss Oranje Disco Dancer),The Hanged Man,1
Klaasje (Miss Oranje Disco Dancer),You,11
Kortenaer,Ruud Hoenkloewen,3
Kortenaer,Shanky,1
Kortenaer,The Gardener,5
Kortenaer,Titus Hardie,4
Kortenaer,You,8
Large Scab,Scab,1
"Lena, the Cryptozoologist's wife","Morell, the Cryptozoologist",5
"Lena, the Cryptozoologist's wife",You,8
Lilienne's Other Twin,Lilienne's Twin,1
Lilienne's Other Twin,You,1
Lilienne's Twin,You,1
"Lilienne, the Net Picker",You,4
Little Lily,You,1
Mack Torson,Nix Gottlieb,3
Mack Torson,Plaisance,1
Mack Torson,You,6
Man on water lock,You,2
Man with Sunglasses,You,3
Measurehead,Measurehead's Babe,2
Measurehead,Scab Leader,1
Measurehead,You,2
Measurehead's Babe,Scab Leader,1
Measurehead's Babe,You,2
Mikael Heidelstam,Trant Heidelstam,3
Mikael Heidelstam,You,3
"Morell, the Cryptozoologist",You,5
Mother of a Scab,Probably a Migrant,1
Mother of a Scab,Scab,1
Mother of a Scab,Scabette,1
Mother of a Scab,Unemployed Person,1
Nix Gottlieb,You,3
Noid,"Soona, the Programmer",6
Noid,You,9
Novelty Dicemaker,You,1
Old Scab,Scab,1
Old Scab,Unemployed Person,1
Paledriver,You,1
Pissf****t,You,1
Plaisance,You,13
Probably a Migrant,Right-to-Worker,1
Probably a Migrant,Scab,1
Probably a Migrant,Scabette,2
Probably a Migrant,Unemployed Person,1
Racist lorry driver,You,2
Real Estate Agent,You,1
René Arnoux,You,11
Right-to-Worker,Scab,1
Right-to-Worker,Scabette,1
Right-to-Worker,Very Hard to Exploit Handicapped Person,1
Rosemary,You,3
"Ruby, the Instigator",You,2
Ruud Hoenkloewen,The Gardener,2
Ruud Hoenkloewen,Titus Hardie,2
Ruud Hoenkloewen,You,3
Sad Scab,Self-Educated Humanitarian,1
Sad Scab,Strikebreaker,1
Scab,Scabette,1
Scab,Unemployed Person,2
Scab,Very Hard to Exploit Handicapped Person,1
Scab Leader,You,2
Scabette,Unemployed Person,1
Self-Educated Humanitarian,Strikebreaker,1
Shanky,The Gardener,2
Shanky,Theo,7
Shanky,Titus Hardie,14
Shanky,You,15
Siileng,You,4
Sleeping Dockworker,You,1
Smoker on the Balcony,You,5
"Soona, the Programmer",You,9
"Steban, the Student Communist",You,1
Sunday Friend,You,2
Sylvie,You,2
The Gardener,Theo,1
The Gardener,Titus Hardie,4
The Gardener,You,7
The Hanged Man,You,6
The Pigs,You,2
Theo,Titus Hardie,7
Theo,You,7
Tiago,You,2
Titus Hardie,You,18
Tommy Le Homme,You,1
Trant Heidelstam,You,6
Washerwoman,You,1
Working Class Woman,You,2
